FORMA,TIPO,SUBTIPO,SIGNIFICADO,DERIVADOS
##dad,sufijo derivativo,adjetivo a nombre,Nombre de la cualidad expresada en la base / designación de persona en formas de tratamiento / acompañado de un posesivo / nombre de grupo,##edad / ##idad / ##tad
##edad,sufijo derivativo,adjetivo a nombre,Nombre de la cualidad expresada en la base / designación de persona en formas de tratamiento / acompañado de un posesivo / nombre de grupo,##dad / ##idad / ##tad
##idad,sufijo derivativo,adjetivo a nombre,Nombre de la cualidad expresada en la base / designación de persona en formas de tratamiento / acompañado de un posesivo / nombre de grupo,##dad / ##edad / ##tad
##tad,sufijo derivativo,adjetivo a nombre,Nombre de la cualidad expresada en la base / designación de persona en formas de tratamiento / acompañado de un posesivo / nombre de grupo,##dad / ##edad / ##idad
##eza,sufijo derivativo,adjetivo a nombre,Nombre de la cualidad o propiedad expresada en la base / sobre todo / asociados a juicios de valor / designación de personas en tratamientos de cortesía,
##icia,sufijo derivativo,adjetivo a nombre,Nombre de la cualidad o propiedad expresada en la base,
##icie,sufijo derivativo,adjetivo a nombre,Nombre de la cualidad o propiedad expresada en la base,
##itud,sufijo derivativo,adjetivo a nombre,Nombre de la cualidad expresada en la base,##ud / ##tud
##tud,sufijo derivativo,adjetivo a nombre,Nombre de la cualidad expresada en la base,##itud / ##ud
##dumbre,sufijo derivativo,adjetivo a nombre,Nombre de la cualidad expresada en la base,
##idumbre,sufijo derivativo,adjetivo a nombre,Nombre de la cualidad expresada en la base,
##edumbre,sufijo derivativo,adjetivo a nombre,Nombre de la cualidad expresada en la base,
##era,sufijo derivativo,adjetivo a nombre,Nombre de la cualidad o propiedad expresada en la base / cuando designa carencias y estados deficientes (físicos o anímicos) de las personas,
##ia,sufijo derivativo,adjetivo a nombre,Nombre de la cualidad expresada en la base,
##anza,sufijo derivativo,adjetivo a nombre,Nombre de la cualidad expresada en la base,
##at,sufijo derivativo,verbo a nombre,Acción y efecto de la noción expresada en la base,
##ica,sufijo derivativo,verbo a nombre,Nombre de persona / con sentido peyorativo ,
##ido,sufijo derivativo,verbo a nombre,Designa ruidos y sonidos,
##arín,sufijo derivativo,verbo a nombre,Nombre de persona / cosas materiales,
##anchín,sufijo derivativo,verbo a nombre,Nombre de persona / cosas materiales,
##izo,sufijo derivativo,verbo a nombre,Nombre de lugar ,##dizo
##dizo,sufijo derivativo,verbo a nombre,Nombre de lugar ,##izo
##triz,sufijo derivativo,verbo a nombre,Denota características / hábitos / profesiones / oficios u ocupaciones de personas (agente de una acción) / instrumentos / lugares / empresas (f) ,##dor / ##or 
##dera,sufijo derivativo,verbo a nombre,Acción continuada / intensa o repetida,
##ndero,sufijo derivativo,verbo a nombre,Nombre de agente / instrumento (f) y lugar (m) / muebles ,##der / ##tori
##ete,sufijo derivativo,verbo a nombre,Nombre de persona / con sentido peyorativo ,##eta
##sión,sufijo derivativo,verbo a nombre,Acción o efecto del evento expresado en la base /  sistemas o estructuras /  nombre de lugares /  nombre de conjuntos o agrupaciones de cosas o personas /  nombres temporales,##ción / ##zón / ##ión 
##ión,sufijo derivativo,adjetivo a nombre/ verbo a nombre,Nombre de la cualidad expresada en la base/ Acción o efecto del evento expresado en la base /  sistemas o estructuras /  nombre de lugares /  nombre de conjuntos o agrupaciones de cosas o personas /  nombres temporales,##ción/ ##ción / ##zón /  ##sión
##lón,sufijo derivativo,verbo a nombre,Designa personas / en sentido peyorativo / instrumentos ,##ona / ##ón / ##lona
##lona,sufijo derivativo,verbo a nombre,Designa personas / en sentido peyorativo / instrumentos ,##ona / ##lón / ##ón
##ura,sufijo derivativo,adjetivo a nombre/ verbo a nombre,Nombre de la cualidad o propiedad expresada en la base / sobre todo / propiedades físicas y figuradas/ Acción o efecto del evento expresado en la base / efecto material de una acción / instrumento / utensilio / recurso o medio / periodo,/ ##dura / ##tura
##tura,sufijo derivativo,verbo a nombre,Acción o efecto del evento expresado en la base / efecto material de una acción / instrumento / utensilio / recurso o medio / periodo,##ura / ##dura
##ncia,sufijo derivativo,adjetivo a nombre/ verbo a nombre,Nombre de la cualidad expresada en la base/ Acción o efecto del evento expresado en la base / estado o situación / grupo / individuo o conjunto de individuos / lugar / periodo,##nza
##nza,sufijo derivativo,adjetivo a nombre/ verbo a nombre,Nombre de la cualidad expresada en la base/ Acción o efecto del evento expresado en la base / estado o situación / grupo / individuo o conjunto de individuos / lugar,##ncia
##miento,sufijo derivativo,verbo a nombre,Acción / efecto o proceso del evento expresado en la base / instrumento / medio o recurso para realzar lo designado en la base / agrupaciones de personas o cosas / lugares,##mento
##mento,sufijo derivativo,verbo a nombre,Acción / efecto o proceso del evento expresado en la base / instrumento / medio o recurso para realzar lo designado en la base / agrupaciones de personas o cosas / lugares,##miento
##ado,sufijo derivativo,nombre a nombre,Nombre de lugar ,##ato
##ato,sufijo derivativo,nombre a nombre,Nombre de lugar / Cría o cachorros de animal,##ado
##aje,sufijo derivativo,verbo a nombre/ nombre a nombre,Acción o efecto del evento expresado en la base / resultado de un evento / cantidad estipulada por un servicio/ Nombre de cantidades / nombre de impuestos / estado que adquiere la cosa o persona designadas por el sustantivo base / el servicio que presta o la actividad que desarrolla / conjunto  de personas (a veces en sentido despectivo) / animales / utensilios o accesorios o de cosas en general ,
##ambre,sufijo derivativo,nombre a nombre,Nombres colectivos,
##amen,sufijo derivativo,nombre a nombre,Nombres colectivos,
##ario,sufijo derivativo,nombre a nombre,Nombres colectivos,
